what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1620574243530
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1620574243530
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1620574243535
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1620574243542
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1620574243545
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1620574243547
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1620574243552
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1620574243555
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1620574243564
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1620574243565
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1620574243607
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1620574243608
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1620574243613
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1620574243615
os,sysinfo,,,"win32",1620574243624
arch,sysinfo,,,"x86_64",1620574243624
ws,sysinfo,,,"win32",1620574243624
locale,sysinfo,,,"en_US",1620574243624
processors,sysinfo,,,"4",1620574243624
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1620574243624
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1620574243624
java.specification.name,sysinfo,,,"Java Platform API Specification",1620574243624
java.specification.vendor,sysinfo,,,"Oracle Corporation",1620574243624
java.specification.version,sysinfo,,,"1.8",1620574243624
java.vendor,sysinfo,,,"Oracle Corporation",1620574243624
java.version,sysinfo,,,"1.8.0_261",1620574243624
java.vm.info,sysinfo,,,"mixed mode",1620574243624
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1620574243624
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1620574243624
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1620574243624
java.vm.specification.version,sysinfo,,,"1.8",1620574243624
java.vm.vendor,sysinfo,,,"Oracle Corporation",1620574243624
java.vm.version,sysinfo,,,"25.261-b12",1620574243624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574244331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574264973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1620574264998
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1620574265401
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1620574265522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1620574270452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574271263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574275415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1620574276610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1620574278908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1620574333229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1620574343886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574357950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1620574359732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574374624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1620574377128
